id,understanding_level,prototype,question,ground_truth_rule,ground_truth,Answer Type,data_samples,metric,note,explanation
ad_11,"Knowledge, Memory",Loss of sensitivity to  glucose,Which periods in the last week indicate potential sensor drift?,Extract data from 24th to 30th day; Timestamps of data points with label: positive_spike or negative_spike or repeated_reading or zero_reading,"{[repeat_start, repeat_end], ...} U {[zero_start, zero_end], ...}  if any, or {}",Interval Event,"Injecting Positive Spike Readings,  Negative Spike Readings, Repeated Readings, and Zero Readings from 24th to the 30th day ",Affinity F-score,,"Focus on the data collected from the 24th to the 30th day. Look for time points where glucose readings either drop to zero, remain constant with fluctuating noise, or show sudden spikes. These patterns suggest a loss of sensor sensitivity, which could result from incomplete insertion or dislocation of the sensor, causing the signal to average over a larger area than intended. Identifying these specific patterns within the specified timeframe reveals when sensor drift likely occurred."
ad_12,Memory,Missing signal,Was there a data dropout in the last weekend (28th and 29th day)?,"Extract 28th and 29th day; Periods between data points with label: [missing_start, missing_end]","{[missing_start, missing_end], ...} if any, or {}",Interval Event,Injecting Missing Signal from the 28th to the 29th day ,Affinity F-score,,"Scan the glucose data for any intervals where readings are invalid, such as those recorded as NaN or null values. Additionally, detect gaps between consecutive timestamps that exceed the expected sampling interval, as these indicate unrecorded data. Together, these patterns reveal periods where glucose monitoring was interrupted or incomplete."
ad_13,Memory,Spike readings,Were there any unexpected glucose spikes in the last week?,Extract data from 24th to 30th day; Timestamps of data points with label: positive_spike or negative_spike,"[positive_spikes] U [negative_spikes]  if any, or []",Point Event,Injecting Positive Spike Readings and Negative Spike Readings from 24th to the 30th day ,Affinity F-score,,Examine the data from the 24th to the 30th day. Scan the CGM data for timestamps where the glucose levels rise or fall sharply compared to surrounding readings.
ad_14,Memory,Spike readings,Was there a rapid drop in glucose in the 14th day?,Extract data in 14th day; Timestamps of data points with label: negative_spike,"[negative_spikes] if any, or []",Point Event,Injecting Negative Spike Readings on the 14th day,Affinity F-score,,Examine the data from the 14th day. Scan the CGM data for timestamps where the glucose levels fall sharply compared to surrounding readings.
ad_15,Memory,Spike readings,Was there a glucose drop of more than 50 mg/dL at any time in the first week?,Extract data from 1st to 7th day;  Timestamps of data points with label: negative_spike,"[negative_spikes] if any, or []",Point Event,Injecting Negative Spike Readings from the 1st to the 7th day ,Affinity F-score,,Examine the data from the 1st to 7th day. Scan the CGM data for timestamps where the glucose levels fall more than 50 mg/dL compared to surrounding readings.
ad_16,Memory,Spike readings,Did my glucose rise quickly this morning?,Extract 30th day's data in the morning (6 am–12 pm); Timestamps of data points with label: positive_spike,"[positive_spikes] if any, or []",Point Event,Injecting Positive Spike Readings in the 30th day's morning,Affinity F-score,,"Review the data from the 30th day between 6 a.m. and 12 p.m. Look for time points where glucose levels show a sharp upward shift over a short period, standing out clearly from surrounding readings. "
ad_17,Memory,Hypoglycemia ,When did my most recent episode of hypoglycemia occur?  ,"Periods between most recent data points with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]"," [hypoglycemia_start, hypoglycemia_end]  if any, or []",Interval Event,,Affinity F-score,,Find the latest portion of the data for a period where glucose readings consistently fall below 70 mg/dL.
ad_18,Factual,Hazard,During which time intervals at night did hypoglycemia episodes occur?,"Periods between nocturnal data points  (12 am–6 am) with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]"," [hypoglycemia_start, hypoglycemia_end]  if any, or []",Interval Event,Injecting faults to cause hypoglycemia at night,Affinity F-score,,Focus on the data recorded between 12 a.m. and 6 a.m. Identify periods where glucose readings consistently fall below 70 mg/dL. 
ad_19,Factual,Hazard,Were there any prolonged hypoglycemia episode overnight? ,"Periods between nocturnal data points  (12 am–6 am) with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end] & (end-start) > 1h"," [hypoglycemia_start, hypoglycemia_end]  if any, or []",Interval Event,,Affinity F-score,,Examine glucose data recorded between 12 a.m. and 6 a.m. Identify continuous periods where readings remain below 70 mg/dL for longer than one hour. 
ad_20,Memory,Hazard,Were there any time intervals in the last week when I experienced severe hypoglycemia?,"Extract last week's data; Periods between data points with hypoglycemia label : [hypoglycemia_start, hypoglycemia_end]"," [hypoglycemia_start, hypoglycemia_end]  if any, or []",Interval Event,,Affinity F-score,,"Examine glucose data from the 24th to the 30th day. Look for extended intervals where glucose readings consistently remain well below normal levels, particularly under 70 mg/dL, across a continuous sequence of readings. "
ad_21,Factual,Hazard,Were there any periods where a hypoglycemia event was followed by a hyperglycemia event within 2 hours?," Periods between data points: [hypoglycemia_start, hypeglycemia_end]  if (hyperglycemia_start - hypoglycemia_start) < 2 hrs","{[hypoglycemia_start, hypeglycemia_end], ...} if any or []",Interval Event,,Affinity F-score,,Scan the data for sequences where glucose levels first drop below 70 mg/dL and then rise above 180 mg/dL shortly afterward. Focus on cases where the time between the initial drop and the subsequent rise is less than two hours.
ad_22,Factual,Hazard,How long was my last episode of hypoglycemia? ,Length of the most recent period of data points with a hypoglycemia label: hypoglycemia_end - hypoglycemia_start,Length,Value,,sMAPE,,Identify the latest continuous period during which glucose readings remain below 70 mg/dL. Calculate the time elapsed between the beginning of this low glucose interval and the point when glucose levels return above the threshold. This difference represents the length of the most recent hypoglycemia event.
ad_23,Memory,Hazard,At what time interval did I enter hyperglycemia on the 25th day? ,Extract the Wednesday data. Periods of the data with the label hyperglycemia,"[[hyperglycemia_start, hyperglycemia_end], ..] if any or []",Interval Event,Injecting faults to cause hypoglycemia at the 25th day,Affinity F-score,,Examine the glucose data recorded on the 25th day and locate continuous periods during which glucose readings consistently exceed 180 mg/dL. 
ad_24,Memory,Spike readings,Was there any significant glucose spikes after lunch last Friday (the 27th day)?,Extract the data from 12 am to 6 pm on the 27th day. Timestamps of data points with label: positive_spike,"[timestamps] if any, or []",Point Event,Injecting Positive Spike Readings from 12 am to 6 pm on the 27th day,Affinity F-score,,Review the data from 12 am to 6 pm on the 27th day. Identify moments where glucose levels sharply increase compared to preceding readings. 
ad_25,Factual,Hazard,How many times did I experience hypoglycemia?,Times of hypoglycemia events ,Times,Value,,sMAPE,,"To determine the number of hypoglycemia events, count each distinct period where glucose readings consistently fall below 70 mg/dL, separated by intervals in which glucose levels return above this threshold. Each such continuous stretch represents a separate episode of low blood glucose."
ad_26,Memory,Hazard,How many times did I have hypo events in the last week?,Extract data from the 24th to the 30th day. Count the number of hypoglycemia events (continuous period counts as 1 event),Times,Value,,sMAPE,,Examine the data from the 24th to the 30th day and count each continuous period where glucose readings remain below 70 mg/dL. Treat each uninterrupted stretch of low glucose as a single event.
ad_27,Memory,Hazard,How many times did I have hyperglycemia events in the last week?  ,Extract the data from this week. Count the number of hyperglycemia events,Times,Value,,sMAPE,,Review the data from the past seven days and count each continuous period where glucose readings remain above 180 mg/dL. Treat each uninterrupted stretch of elevated glucose as a single event.
ad_28,Memory,Hazard,Were there any extended periods of hyperglycemia lasting over 4 hours during the last week?,"Extract the data from last week. Periods between data points with hyperglycemia label : [hyperglycemia_start, hyperglycemia_end] & (end-start) > 4h"," [hyperglycemia_start, hyperglycemia_end]  if any, or []",Interval Event,,Affinity F-score,,"Examine the data from the past week for continuous stretches where glucose readings remain above 180 mg/dL. Focus on intervals where the duration between the start and end of elevated glucose levels exceeds four hours, indicating prolonged episodes of high blood sugar."
ad_29,Factual,Hazard recover,How long did it generally take to reach target range after a prolonged hyperglycemia episode? ,Average value of the time BG returns to TIR minus the time the hyperglycemia event start,Length,Value,,sMAPE,,"Examine each instance where glucose levels return to the target range (typically 70–180 mg/dL) following a period of elevated readings above 180 mg/dL. For each event, calculate the time difference between when hyperglycemia start and when glucose re-enters the target range. Compute the average of these time differences across all such events to determine the typical delay in returning to stable glucose levels."
ad_30,Memory,Hazard recover,How long did I recover from the last hypoglycemic event?,Extract the last hypoglycemic event. The value of the time BG returns to TIR minus the time the hyperglycemia event start,Length,Value,,sMAPE,,Examine the most recent period of low glucose readings below 70 mg/dL. Identify the time when this hypoglycemia episode begins and the time when glucose levels first return to the target range of 70–180 mg/dL. Calculate the time difference between these two points to determine how long it took to recover from the onset of the last hypoglycemic event.
ad_31,Memory,Comparison ,What day was my glucose control the most out of range?,Count the number of hypo and hyper labels each day. The day has the max value,Day,Class,,Accuracy,,"Examine each day by counting the total number of glucose readings that fall outside the target range—specifically, those below 70 mg/dL and above 180 mg/dL. Identify the day with the highest combined count of these out-of-range readings."
ad_32,Memory,Comparison ,What was my longest time spent (in minutes) in hyperglycemia?,Compute the duration in minutes of all hyperglycemia events. The max value of them,Length,Value,,sMAPE,,"Examine all periods where glucose readings remain continuously above 180 mg/dL. For each event, calculate the duration from the start to the end of elevated readings. Identify the longest of these durations to determine the maximum time spent in a single hyperglycemia episode."
ad_33,Memory,Comparison ,"My glucose dropped fast after lunch today. Has this happened before, and if so, when?",Extract negative_spike label within 2 hours after lunch ,"[negative_spikes] if any, or []",Point Event,Insert Negative Spike Readings after lunch on the 20th day,Affinity F-score,,Examine the data within the two-hour window following lunch for each day. Identify instances where glucose levels show a sharp and sudden decline compared to surrounding readings.
ad_34,Memory,Comparison ,Has the number of hazards increased in the last week compared to the first week? ,"Compute the hyper and hypo labels for the last week and the first week. If increased, then 1 else 0 ",Binary,Class,,Accuracy,,"Examine and compare the number of glucose readings outside the target range—specifically those indicating low (below 70 mg/dL) and high (above 180 mg/dL) values—during the first and last weeks. Count the total number of such events in each week. If the combined count is higher in the last week than in the first, it indicates an increase in glucose hazards."
ad_35,Memory,Comparison ,Was there a new time of day when I experienced hypoglycemia in the last week?,Extract all hypo events hour in the first 3 weeks and the last week. Hours that do not appear before ,"[Hours] if any, or []",Class,Induce a hypo event in the last week that has a different hour from the previous data ,Accuracy,,"Examine all hypoglycemia events from the first three weeks and record the hours during which they occurred. Then, review hypoglycemia events from the last week and note the hours they took place. Identify any hours in the last week that were not present in the earlier period, indicating new times of day when hypoglycemia occurred."
ad_36,Memory,Comparison ,My post-lunch glucose peaked at 220 mg/dL. What other days this month had similar unusual responses?,Extract timestamps that exceed 220 mg/dL in 2 hours after lunch ,"[timestamps] if any, or []",Point Event,Insert Positive Spike Readings after lunch to make the BG exceed 220 on the 24th day and 17th day,Affinity F-score,,Examine glucose data within the two-hour period following lunch for each day of the month. Identify all instances where glucose levels exceed 220 mg/dL during this timeframe. 
ad_37,Knowledge,Patterns,Did I experience a rollercoaster pattern (rapid high-low-high cycles)?,"Extract events that have hyper, hypo, and hyper events with no longer than 2 hours interval"," [hyperglycemia_start, hyperglycemia_end]  if any, or []",Interval Event,"Induce hyper, hypo, and hyper events with no longer than 2 hours interval",Affinity F-score,,"Examine the data for sequences where a period of high glucose levels (above 180 mg/dL) is followed by a low (below 70 mg/dL)  glucose episode and then another high glucose episode, with each transition occurring within two hours."
ad_38,Knowledge,Patterns,My CGM shows a glucose spike at 2 am for the past three nights. Is this consistent with my normal pattern?,If have spike happens between 1 am to 3 am over 15 days then 1 else 0 ,Binary,Class,Insert spikes at 2 am for the latest 3 nights and not on other days.,Accuracy,,"Examine glucose data from the past 15 days, focusing on the time window between 1 a.m. and 3 a.m. Identify how often a noticeable spike in glucose occurs during this period. If such spikes are present on at least 15 days, this pattern is considered consistent with the typical overnight glucose behaviour."
ad_39,"Knowledge, Memory",Patterns,Were there any abnormal glucose response periods within 2 hours after lunch during the last week,Extract last week's data. Periods with faulty label 2 hours after lunch,"[timestamps] if any, or []",Point Event,Inject some faulty data after lunch in the last week,Affinity F-score,,"Examine the data from the last week, focusing on the two-hour window following lunch each day. Examine the CGM data for periods containing patterns that exceed normal behaviours. For example, positive or negative spike readings (sudden, implausible changes in glucose levels), repeated readings (identical values across multiple timestamps), positive or negative biased readings (consistent offset from expected levels), minimize or maximize readings (artificial flattening at extreme low or high values), zero readings (glucose values exactly zero), and repeated episodes (segments of data that repeat over time)."
ad_40,Factual,Repeated readings,Were there any overnight periods with unusually stable CGM readings?,Extract data at night (12 am-6 am). Timestamps of data points with label: repeated_reading ,"{[repeat_start, repeat_end], ...} if any, or {}",Interval Event,Repeat readings at night,Affinity F-score,,"Examine the glucose data recorded between 12 a.m. and 6 a.m. Identify time points where readings remain nearly unchanged across multiple consecutive measurements, showing minimal variability. These stretches of repeated values indicate unusually stable overnight CGM readings."
ad_41,Memory,Comparison ,On which day this week was my glucose pattern most ideal?     ,The day with the fewest faulty labels and hazards,Day,Class,Leave 1 day not to inject faulty data this week,Accuracy,,"Examine each day from the current week and evaluate the number of readings that fall outside the target glucose range—either high or low—as well as those marked by irregularities. Identify the day with the fewest such instances, as it reflects the most stable and ideal glucose pattern during the week."
ad_42,Knowledge,Sensor error,Were there any low glucose readings that might have been caused by a sensor error?,"Extract data with BG < 80. Periods with faulty label: zero_reading, negative_bias, min_reading, repeapted_reading, negative_spike","{[event_start, event_end], ...} if any, or {}",Interval Event,"Inject zero readings, negative bias readings, repeated readings after a low BG value, and minimize readings",Affinity F-score,,"Examine all glucose readings below 80 mg/dL and identify those occurring during periods with irregular sensor pattern, such as zero values, consistent underestimation, minimal readings, repeated identical values, or sudden drops. These instances suggest that low glucose measurements may be due to sensor errors rather than true physiological changes."
ad_43,Knowledge,Communication Loss,Were there any periods when my glucose data was missing or the CGM device stopped reporting?,"Periods between data points with label: [missing_start, missing_end]","{[missing_start, missing_end], ...} if any, or {}",Interval Event,[dropped timestamps]: Randomly select 5 time points to drop 3 data points,Affinity F-score,,"Identify all periods where the glucose readings are invalid (e.g., NaN or null) or gaps between consecutive timestamps exceeding the expected sampling interval."
ad_44,Knowledge,Process-Aware Attacks,Are there any likely wrong meal registrations?,Timestamps of data points with label: false_meal,"[timestamps] if any, or []",Point Event,Falsely register meal taking in the controller but not in the patient  (when BG is low and not meal time),Affinity F-score,,Identify meal times that occur at irregular or unexpected intervals compared to the typical daily pattern. Such inconsistencies in meal timing may suggest incorrect or missing meal registrations.
ad_45,Knowledge,Replay Attacks,Were there any periods with suspiciously repeated or injected readings that may indicate replay attacks?,"Periods of data points with label: repeated_episode, reapted_readings","[timestamps] if any, or []",Point Event,"Inject false bolus, replay meal episode, and repeated readings",Affinity F-score,,"Identify periods where glucose readings stay constant for unusually long durations and detect segments of data that recur repeatedly over time. These patterns of identical or recurring values indicate potential repeated or artificially injected measurements, suggesting anomalies beyond typical physiological variations."
ad_46,Knowledge,"Personalized insulin dose manipulation
attack",Were there any unsafe controller actions—such as excessive insulin delivery or false dosing—during or shortly after my typical workout periods?,"Periods with data labelled bias_basal, max_basal,  and false_bolus during and 1 hour after exercise","{[event_start, event_end], ...} if any, or {}",Interval Event,Inject over or maximized basal delivery during exercise and a false bolus after 0.5 hours of excercise ,Affinity F-score,,"Identify periods during and within one hour after workout where insulin delivery shows unusually high rates, unexpected increases, or dosing patterns inconsistent with normal behaviour. These irregularities in insulin administration around exercise may indicate unsafe controller actions such as excessive or incorrect dosing."
ad_47,Knowledge,Bias Injection Attacks,"Were there any CGM readings that may have been influenced by biased data injection, such as implausible upward or downward shifts?
","Periods with data labelled: negative_bias, positive_bias","{[event_start, event_end], ...} if any, or {}",Interval Event,Inject negative and positive biased BG readings,Affinity F-score,,Identify periods where glucose readings exhibit implausible and consistent shifts either upward or downward that deviate from expected physiological trends. These unusual changes suggest the presence of biased data alterations affecting the accuracy of the measurements.
ad_48,Knowledge,Unauthorized Remote Control,Were there any periods indicating unauthorised access or manipulation of my insulin delivery?,"Periods with data labelled: false_bolus, bias_basal, max_basal, min_basal","{[event_start, event_end], ...} if any, or {}",Interval Event,"Inject false bolus, bias basal, and max/min basal",Affinity F-score,,"Identify periods where insulin delivery patterns show unexpected or abnormal behaviours, such as inappropriate bolus doses and timing or unusual basal delivery patterns that deviate from typical settings. These irregular insulin delivery patterns suggest possible unauthorised access or manipulation of the insulin administration system."
ad_49,Knowledge,Command Manipulation Attack,Were there any times I received insulin doses that seemed unusual compared to my usual treatment pattern?,"Periods with data labeled with faulty injection behavior: false_bolus, bias_basal, max_basal, min_basal","{[event_start, event_end], ...} if any, or {}",Interval Event,"Inject false bolus, bias basal, and max/min basal",Affinity F-score,,"Identify periods where insulin delivery patterns show unexpected or abnormal behaviours, such as inappropriate bolus doses and timing or unusual basal delivery patterns that deviate from typical settings. These irregular insulin delivery patterns suggest possible unauthorised access or manipulation of the insulin administration system."
ad_50,Knowledge,Saturation-based Sensor Spoofing Attacks,Are there any readings likely to be affected by saturation-based sensor spoofing attacks?,Periods with data labelled with: max_reading,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject maximized BG readings,Affinity F-score,,Identify periods where glucose readings consistently reach unusually high maximum values that exceed typical physiological limits. These sustained peaks suggest the possibility of sensor saturation caused by spoofing attacks rather than genuine glucose fluctuations.
ad_51,Knowledge,False data injection attack,Are there readings that might have been faked by false data injection attack?,Periods with CGM reading-related fault labels,[faulty injection label is not NaN],Interval Event,,Affinity F-score,,"Examine the CGM data for periods containing patterns that exceed normal behaviours. For example, positive or negative spike readings (sudden, implausible changes in glucose levels), repeated readings (identical values across multiple timestamps), positive or negative biased readings (consistent offset from expected levels), minimize or maximize readings (artificial flattening at extreme low or high values), zero readings (glucose values exactly zero), and repeated episodes (segments of data that repeat over time)."
ad_52,Knowledge,Malicious pump driver,When did my insulin pump deliver abnormal basal rates that might indicate malfunction or attack?,Periods with basal-related fault labels,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject maximized and minimized basal rates,Affinity F-score,,"Identify periods where the basal insulin delivery shows unexpected patterns, such as adding or subtracting a bias from expectation, suddenly maximised or minimised delivery, or mismatches between reported and actual insulin—suggest abnormal behaviour potentially caused by device malfunction or external interference."
ad_53,Knowledge,Miscalibration,Were there any time intervals when my sensor readings showed signs of possible miscalibration?,"Periods with data labelled with: positive_bias, negative_bias","{[event_start, event_end], ...} if any, or {}",Interval Event,Inject positive and negative biased readings,Affinity F-score,,"Identify time intervals where glucose readings display consistent upward or downward shifts that deviate from usual levels without a clear physiological cause. These sustained deviations suggest possible miscalibration of the sensor, where measured values are systematically offset from actual glucose levels."
ad_54,Knowledge,Pressure-induced sensor attenuation,Is there any period that may indicate pressure-induced sensor attenuation?,Timestamps with data labelled: negative_spike,"[timestamps] if any, or []",Point Event,Inject negative spike readings at night,Affinity F-score,,"Identify periods where glucose readings show sudden, sharp drops that quickly return to previous levels without a physiological trigger. These abrupt downward shifts followed by rapid recovery may indicate pressure-induced sensor attenuation, where external pressure on the sensor causes temporary false low readings."
ad_55,Knowledge,Isolated unphysiological spikes caused by user’s motion,"Were there strange, sudden spikes in my readings that could’ve been caused by the exercise?","Timestamps with data labelled: negative_spike, positive_spike during excercise","[timestamps] if any, or []",Point Event,Inject positive and negative spike readings during exercise,Affinity F-score,,Identify moments during exercise periods where glucose readings show abrupt upward or downward changes that differ sharply from surrounding values. 
ad_56,Knowledge,Loss of sensitivity to glucose,Were there periods when my sensor seemed less responsive or sensitive to changes in glucose?,Timestamps of data points with label: repeated_reading or zero_reading,"{[repeat_start, repeat_end], ...} U {[zero_start, zero_end], ...}  if any, or {}",Interval Event,Inject repeated readings and zero readings during the 2nd and 3rd week,Affinity F-score,,Identify periods where glucose readings remain smaller changes compared with the usual across multiple consecutive measurements or where values drop to zero. These patterns suggest times when the sensor may have been less responsive or showed reduced sensitivity to actual changes in glucose levels.
ad_57,Knowledge,Lowered local glucose concentration,Is there any period that may indicate the lowered local glucose concentration?,Periods with data labelled with negative_bias longer than 6 hours,"{[event_start, event_end], ...} if any, or {}",Interval Event,Decreased average BG level.  Bias BG reading minus 32 in a whole day ,Affinity F-score,,"Identify extended periods where the average glucose readings remain consistently lower than usual without matching physiological patterns. These prolonged decreases may reflect a locally reduced glucose concentration near the sensor, potentially caused by 1) bleeding caused by insertion into subcutaneous tissue, 2) foreign body response, local fibrous tissue after years of sensing in same subcutaneous area 3) Bleeding caused by sensor dislocation during physical activity 4) Sensor enclosed by peritoneal wall prohibiting glucose diffusion.  "
ad_58,Factual,Stop delivery,Was there any period where it looked like insulin delivery may have stopped completely?,"Periods with data labelled with: min_basal, unknow_stop","{[event_start, event_end], ...} if any, or {}",Interval Event,Inject minimized basal and unknown stopped basal,Affinity F-score,,Identify periods where insulin delivery either drops to the lowest possible rate or where reported delivery appears normal but does not effectively impact blood glucose levels at all.  
ad_59,Factual,Stop delivery,Were there any periods when insulin delivery appeared normal but was actually stopped or ineffective?,Periods with data labelled with: unknow_stop,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject unknown stopped basal,Affinity F-score,,"Identify periods when insulin delivery drops to the minimum level or when the reported delivery remains normal while glucose levels do not respond as expected. These periods of low or ineffective insulin action suggest possible interruptions, under-delivery, or malfunctions in the insulin delivery system despite normal reporting."
ad_60,Factual,Under delivery,Were there periods when insulin delivery was lower than the controller indicated?,Periods with data labelled with: unknown_under,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject negative biased basals and unknown under-delivered basals,Affinity F-score,,"Identify periods when insulin delivery appears normal based on controller reports but the actual delivery is consistently lower than indicated, as evidenced by reduced physiological effects or adjustments in the patient's blood glucose levels. These discrepancies suggest times when actual insulin delivery was less than intended or recorded."
ad_61,Factual,Under delivery,"Was there any time when it seemed like I was getting insulin normally, but the actual amount was less than what it was supposed to be?",Periods with data labelled with: unknow_under,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject unknown under delivered basal,Affinity F-score,,"Identify periods when insulin delivery appears normal based on controller reports but the actual delivery is consistently lower than indicated, as evidenced by reduced physiological effects or adjustments in the patient's blood glucose levels. These discrepancies suggest times when actual insulin delivery was less than intended or recorded."
ad_62,Knowledge,Stop delivery,Were there any periods when the insulin reservoir appeared empty?,Periods with data labelled with: unknow_stop,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject unknown stopped basal,Affinity F-score,,"Identify periods where insulin delivery appears to continue normally in reported data, but there is no corresponding effect on glucose levels, suggesting a complete lack of actual insulin administration. These patterns may indicate times when the insulin reservoir was empty, leading to unintentional missed delivery despite normal controller behavior."
ad_63,Knowledge,Stop delivery,Were there any periods when my infusion set seemed to have gotten blocked or kinked?,Periods with data labelled with: unknow_stop,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject unknown stopped basal,Affinity F-score,,"Identify periods where reported insulin delivery appears normal, but glucose levels do not respond as expected, indicating no actual insulin effect. These discrepancies may suggest that the infusion set was blocked or kinked, preventing insulin from reaching the body despite proper system operation."
ad_64,Knowledge,Under delivery,Was there any period when insulin might have leaked out or didn’t get absorbed like it normally does?,Periods with data labelled with: unknow_under,"{[event_start, event_end], ...} if any, or {}",Interval Event,Inject unknown under delivered basal,Affinity F-score,,"Identify periods where insulin delivery appears normal, but glucose levels do not decrease as expected, indicating reduced effectiveness. These patterns may suggest that insulin leaked out or was not properly absorbed, resulting in lower than anticipated impact on glucose despite standard delivery behavior."
